read_1	240	9672236	9672492
read_2	232	12722936	12723192
read_3	245	18980751	18981007
read_4	243	10620279	10620535
read_5	227	17965200	17965456
read_6	231	5086832	5087088
read_7	246	10748739	10748995
read_8	219	9544830	9545086
read_9	222	24283777	24284033
read_10	209	14249192	14249448
read_11	243	101563	101819
read_12	229	10771564	10771820
read_13	248	19168123	19168379
read_14	252	22570424	22570680
read_15	237	9993196	9993452
read_16	250	7859255	7859511
read_17	217	10938969	10939225
read_18	223	7235223	7235479
read_19	202	14932997	14933253
read_20	252	9943637	9943893
read_21	244	22559841	22560097
read_22	221	13465789	13466045
read_23	243	24238543	24238799
read_24	231	23405192	23405448
read_25	254	13081281	13081537
read_26	213	10943854	10944110
read_27	223	22971469	22971725
read_28	254	23910649	23910905
read_29	251	3076833	3077089
read_30	243	23616288	23616544
read_31	228	3642770	3643026
read_32	248	21814823	21815079
read_33	215	13297302	13297558
read_34	221	5862829	5863085
read_35	230	4639476	4639732
read_36	236	18413233	18413489
read_37	256	21369433	21369689
read_38	93	1412489	1412745
read_39	249	18522935	18523191
read_40	242	23425566	23425822
read_41	230	14907207	14907463
read_42	224	2561919	2562175
read_43	221	21160610	21160866
read_44	241	1360496	1360752
read_45	244	304906	305162
read_46	217	14803378	14803634
read_47	226	21189363	21189619
read_48	246	2085384	2085640
read_49	220	22499150	22499406
read_50	229	18392946	18393202
read_51	227	2403381	2403637
read_52	242	14967734	14967990
read_53	234	13696994	13697250
read_54	240	16236235	16236491
read_55	253	6840572	6840828
read_56	254	7873449	7873705
read_57	230	10351489	10351745
read_58	249	23422357	23422613
read_59	211	2573983	2574239
read_60	243	17303070	17303326
read_61	232	261463	261719
read_62	225	5641972	5642228
read_63	215	1642826	1643082
read_64	210	9604479	9604735
read_65	233	9149577	9149833
read_66	240	20260311	20260567
read_67	218	6914065	6914321
read_68	236	137969	138225
read_69	218	13286838	13287094
read_70	211	14469758	14470014
read_71	212	19030526	19030782
read_72	240	10073405	10073661
read_73	221	11188668	11188924
read_74	239	6572654	6572910
read_75	249	10308221	10308477
read_76	210	12705777	12706033
read_77	247	4470898	4471154
read_78	231	5050692	5050948
read_79	233	2235916	2236172
read_80	219	6044830	6045086
read_81	217	1900405	1900661
read_82	198	1390224	1390480
read_83	236	21899126	21899382
read_84	225	400540	400796
read_85	235	23439190	23439446
read_86	228	16502941	16503197
